Title,Year,Running time,Country,Language,Release date,Box office,Genre,Imdb Rating
Muppet Treasure Island,1996,100,USA,English,1996/2/16,34300000,Action,7
Homeward Bound II:Lost in San Francisco,1996,89,USA,English,1996/3/8,32700000,Comedy,6
James and the Giant Peach,1996,79,USA,English,1996/4/12,37700000,Family,6.7
The Hunchback of Notre Dame,1996,91,USA,English,1996/6/19,325300000,Drama,7
First Kid,1996,101,USA,English,1996/8/30,26465920,Comedy,5.3
D3: The Mighty Ducks,1996,104,USA,English,1996/10/4,22900000,Action,5.5
101 Dalmatians,1996,103,USA,English,1996/11/27,320700000,Comedy,5.7
That Darn Cat,1997,86,USA,English,1997/2/14,18300000,Action,4.7
Jungle 2 Jungle,1997,105,USA,English,1997/3/7,59900000,Comedy,5.2
Hercules,1997,93,USA,English,1997/6/13,252700000,Comedy,7.3
George of the Jungle,1997,92,USA,English,1997/7/16,174400000,Action,5.5
Air Bud,1997,98,USA,English,1997/8/1,27800000,Comedy,5.3
RocketMan,1997,95,USA,English,1997/10/10,15400000,Musical,7.3
Flubber,1997,93,USA,English,1997/11/16,178000000,Comedy,5.3
Mr. Magoo,1997,87,USA,English,1997/12/25,28900000,Comedy,4
Meet the Deedles,1998,93,USA,English,1998/3/27,4400000,Comedy,4.1
Mulan,1998,87,USA,English,1998/6/19,304300000,Comedy,7.7
The Parent Trap,1998,128,USA,English,1998/7/29,92100000,Comedy,6.6
I'll Be Home for Christmas,1998,86,USA,English,1998/11/13,12200000,Comedy,5.5
A Bug's Life,1998,95,USA,English,1998/11/20,363300000,Comedy,7.2
Mighty Joe Young,1998,114,USA,English,1998/12/25,50600000,Action,5.7
My Favorite Martian,1999,93,USA,English,1999/2/12,36800000,Comedy,5.1
Doug's 1st Movie,1999,83,USA,English,1999/3/26,19400000,Comedy,5
Tarzan,1999,88,USA,English,1999/6/12,448200000,Comedy,7.3
Inspector Gadget,1999,78,USA,English,1999/7/23,134400000,Action,4.2
The Straight Story,1999,112,USA,English,1999/5/7,6200000,Drama,8
Toy Story 2,1999,92,USA,English,1999/11/13,497400000,Comedy,7.9
